Station,Latitude,Longitude,Depth,Temperature,Salinity,Nitrate,Iron
PS71/175,-69.0035,0.00071,2752.3999,-0.131,34.658001,32.52,0.4
PS71/175,-69.0035,0.00071,2996.2,-0.145,34.658001,32.490002,0.439024
PS71/175,-69.0035,0.00071,2999.5,-0.132,34.659,,
PS71/175,-69.0035,0.00071,3099.5,-0.131,34.659,,
PS71/175,-69.0035,0.00071,3199.6001,-0.132,34.658001,,
PS71/175,-69.0035,0.00071,3200.1001,-0.143,34.657001,32.529999,0.468293
PS71/175,-69.0035,0.00071,3270.3,-0.132,34.658001,,
PS71/175,-69.0035,0.00071,3301.2,-0.137,34.657001,32.57,0.439024
PS71/175,-69.0035,0.00071,3321.2,-0.129,34.658001,,
PS71/178,-69.397,359.96686,4.3,-1.592,33.914001,,
PS71/178,-69.397,359.96686,10.0,-1.584,33.911999,23.08,0.214634
PS71/178,-69.397,359.96686,10.4,-1.476,34.007999,,
PS71/178,-69.397,359.96686,19.4,-1.446,34.021999,,
PS71/178,-69.397,359.96686,19.5,-1.452,34.018002,,
PS71/178,-69.397,359.96686,19.7,-1.444,34.023998,,
PS71/178,-69.397,359.96686,19.7,-1.447,34.021,,
PS71/178,-69.397,359.96686,19.7,-1.448,34.021,,
PS71/178,-69.397,359.96686,19.7,-1.48,33.999001,,
PS71/178,-69.397,359.96686,19.7,-1.511,33.980999,,
PS71/178,-69.397,359.96686,19.7,-1.453,34.016998,,
PS71/178,-69.397,359.96686,19.7,-1.457,34.014,,
PS71/178,-69.397,359.96686,19.8,-1.441,34.027,,
PS71/178,-69.397,359.96686,19.8,-1.474,34.002998,,
PS71/178,-69.397,359.96686,19.8,-1.518,33.978001,,
PS71/178,-69.397,359.96686,19.9,-1.5,33.987,,
PS71/178,-69.397,359.96686,19.9,-1.5,33.987,,
PS71/178,-69.397,359.96686,19.9,-1.474,34.001999,,
PS71/178,-69.397,359.96686,19.9,-1.511,33.980999,,
PS71/178,-69.397,359.96686,19.9,-1.518,33.978001,,
PS71/178,-69.397,359.96686,20.0,-1.508,33.983002,,
PS71/178,-69.397,359.96686,20.0,-1.456,34.014,,
PS71/178,-69.397,359.96686,20.0,-1.453,34.016998,,
PS71/178,-69.397,359.96686,20.1,-1.506,33.983002,,
PS71/178,-69.397,359.96686,20.3,-1.504,33.985001,,
PS71/178,-69.397,359.96686,20.3,-1.443,34.025002,,
PS71/178,-69.397,359.96686,23.8,-1.557,33.929001,23.6,0.44878
PS71/178,-69.397,359.96686,24.3,-1.617,33.919998,,
PS71/178,-69.397,359.96686,24.5,-1.464,33.997002,,
PS71/178,-69.397,359.96686,24.5,-1.462,33.999001,,
PS71/178,-69.397,359.96686,24.6,-1.616,33.922001,,
PS71/178,-69.397,359.96686,24.6,-1.467,33.995998,,
PS71/178,-69.397,359.96686,24.6,-1.463,33.998001,,
PS71/178,-69.397,359.96686,24.7,-1.467,33.995998,,
PS71/178,-69.397,359.96686,25.2,-1.456,34.019001,,
PS71/178,-69.397,359.96686,49.4,-1.366,34.062,,
PS71/178,-69.397,359.96686,49.5,-1.365,34.061001,,
PS71/178,-69.397,359.96686,49.5,-1.365,34.061001,,
PS71/178,-69.397,359.96686,49.5,-1.337,34.094002,,
